date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:37	41953/41953	---M-Z	200	added ('OK')	text/html	etag:%22a3e1-69054403-7be7c01a5fa6c720;gz%22	https://amincode.com/tm-html/flex-it/about-us.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/about-us.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:37	39650/39650	---M-Z	200	added ('OK')	text/html	etag:%229ae2-69054403-af02416664bf49b2;gz%22	https://amincode.com/tm-html/flex-it/services.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/services.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:38	33084/33084	---M-Z	200	added ('OK')	text/html	etag:%22813c-69054403-c9eb5bf255bbb841;gz%22	https://amincode.com/tm-html/flex-it/service-single.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/service-single.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:38	31796/31796	---M-Z	200	added ('OK')	text/html	etag:%227c34-69054403-5dab0c8039105ab5;gz%22	https://amincode.com/tm-html/flex-it/portfolio-grid.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/portfolio-grid.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:38	31268/31268	---M-Z	200	added ('OK')	text/html	etag:%227a24-69054403-329c3694a4db6685;gz%22	https://amincode.com/tm-html/flex-it/portfolio-slider.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/portfolio-slider.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:38	30951/30951	---M-Z	200	added ('OK')	text/html	etag:%2278e7-69054403-d2e0a7e058f29313;gz%22	https://amincode.com/tm-html/flex-it/portfolio-single.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/portfolio-single.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:39	33438/33438	---M-Z	200	added ('OK')	text/html	etag:%22829e-69054403-e48c496e56898849;gz%22	https://amincode.com/tm-html/flex-it/blog-home-1-col.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/blog-home-1-col.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:39	33519/33519	---M-Z	200	added ('OK')	text/html	etag:%2282ef-69054403-bad569e0ebceca94;gz%22	https://amincode.com/tm-html/flex-it/blog-home-2-col.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/blog-home-2-col.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:39	27870/27870	---M-Z	200	added ('OK')	text/html	etag:%226cde-69054403-d790f9909e2aa22b;gz%22	https://amincode.com/tm-html/flex-it/blog-home-3-col.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/blog-home-3-col.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:40	35758/35758	---M-Z	200	added ('OK')	text/html	etag:%228bae-69054403-d5a3949ecb825b1e;gz%22	https://amincode.com/tm-html/flex-it/post-single.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/post-single.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:40	33527/33527	---M-Z	200	added ('OK')	text/html	etag:%2282f7-69054403-d6f9fb4ec7db87ef;gz%22	https://amincode.com/tm-html/flex-it/pricing.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/pricing.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:40	40886/40886	---M-Z	200	added ('OK')	text/html	etag:%229fb6-69054403-60f4342743d6730;gz%22	https://amincode.com/tm-html/flex-it/our-team.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/our-team.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:41	25308/25308	---M-Z	200	added ('OK')	text/html	etag:%2262dc-69054403-da9d64a68d12c265;gz%22	https://amincode.com/tm-html/flex-it/team-member.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/team-member.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:41	28352/28352	---M-Z	200	added ('OK')	text/html	etag:%226ec0-69054403-d60fe1d51a309006;gz%22	https://amincode.com/tm-html/flex-it/faq.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/faq.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:41	19153/19153	---M-Z	200	added ('OK')	text/html	etag:%224ad1-69054403-57611ab80d1abc09;gz%22	https://amincode.com/tm-html/flex-it/404.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/404.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:42	26122/26122	---M-Z	200	added ('OK')	text/html	etag:%22660a-69054403-b436d7aab97d8514;gz%22	https://amincode.com/tm-html/flex-it/contact-us.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/contact-us.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:43	35524/35524	---M--	200	added ('OK')	image/png	etag:%228ac4-69054403-d63c887a22926353;;;%22	https://amincode.com/tm-html/flex-it/assets/images/about/1.png	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/about/1.png	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:44	34112/34112	---M--	200	added ('OK')	image/png	etag:%228540-69054403-3849b09de6f5fff3;;;%22	https://amincode.com/tm-html/flex-it/assets/images/about/2.png	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/about/2.png	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:44	51505/51505	---M--	200	added ('OK')	image/jpeg	etag:%22c931-69054403-51307d7ee4b06072;;;%22	https://amincode.com/tm-html/flex-it/assets/images/portfolio/2.jpg	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/portfolio/2.jpg	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:44	138089/138089	---M--	200	added ('OK')	image/jpeg	etag:%2221b69-69054403-c1e22e11aea102a7;;;%22	https://amincode.com/tm-html/flex-it/assets/images/portfolio/1.jpg	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/portfolio/1.jpg	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:45	43211/43211	---M--	200	added ('OK')	image/jpeg	etag:%22a8cb-69054403-a07ba9d551eb59d0;;;%22	https://amincode.com/tm-html/flex-it/assets/images/portfolio/4.jpg	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/portfolio/4.jpg	(from https://amincode.com/tm-html/flex-it/home-6.html)
